box_id,first_detected,zone_id,zone_entry_time
1,2025-06-15 00:30:32.661144,0,2025-06-15 00:30:53.761381
2,2025-06-15 00:30:32.661144,,
10,2025-06-15 00:30:57.447902,1,2025-06-15 00:31:07.028788
21,2025-06-15 00:31:02.747711,0,2025-06-15 00:31:09.559177
27,2025-06-15 00:31:10.849732,1,2025-06-15 00:31:31.225334
32,2025-06-15 00:31:13.696301,,
51,2025-06-15 00:31:22.643495,0,2025-06-15 00:31:30.118902
57,2025-06-15 00:31:28.074168,0,2025-06-15 00:31:39.099587
59,2025-06-15 00:31:29.958974,0,2025-06-15 00:31:30.118902
61,2025-06-15 00:31:30.274897,1,2025-06-15 00:31:30.274897
63,2025-06-15 00:31:30.896134,,
64,2025-06-15 00:31:31.063415,1,2025-06-15 00:31:31.225334
84,2025-06-15 00:31:37.030605,,
86,2025-06-15 00:31:37.188841,,
89,2025-06-15 00:31:37.676404,1,2025-06-15 00:31:59.809456
94,2025-06-15 00:31:40.847403,,
107,2025-06-15 00:31:44.020689,0,2025-06-15 00:31:55.998639
128,2025-06-15 00:31:49.321471,1,2025-06-15 00:32:07.302667
130,2025-06-15 00:31:51.567691,0,2025-06-15 00:32:08.747483
143,2025-06-15 00:31:54.456631,,
165,2025-06-15 00:31:57.669375,0,2025-06-15 00:31:58.666656
163,2025-06-15 00:31:57.989742,,
180,2025-06-15 00:31:59.470124,1,2025-06-15 00:31:59.642637
188,2025-06-15 00:32:00.287809,,
194,2025-06-15 00:32:03.452744,,
195,2025-06-15 00:32:04.131580,,
196,2025-06-15 00:32:05.083162,,
200,2025-06-15 00:32:06.671514,1,2025-06-15 00:32:07.139913
213,2025-06-15 00:32:08.088492,1,2025-06-15 00:32:24.373965
214,2025-06-15 00:32:08.088492,,
215,2025-06-15 00:32:08.088492,,
219,2025-06-15 00:32:08.585300,0,2025-06-15 00:32:08.585300
250,2025-06-15 00:32:13.106110,1,2025-06-15 00:32:29.822963
258,2025-06-15 00:32:14.558320,,
