component_id,box_id,first_detected,assignment_method
7,1,2025-06-15 00:30:57.014898,zone
13,1,2025-06-15 00:30:59.187889,zone
19,1,2025-06-15 00:31:01.887835,middle_line
28,21,2025-06-15 00:31:11.330576,zone
10,10,2025-06-15 00:31:13.696301,zone
36,21,2025-06-15 00:31:14.018492,zone
37,10,2025-06-15 00:31:14.178735,middle_line
42,21,2025-06-15 00:31:17.778427,middle_line
47,21,2025-06-15 00:31:20.152827,middle_line
53,21,2025-06-15 00:31:24.896826,middle_line
67,51,2025-06-15 00:31:31.846462,middle_line
70,27,2025-06-15 00:31:33.408509,zone
71,51,2025-06-15 00:31:33.565126,middle_line
74,27,2025-06-15 00:31:33.875028,zone
87,27,2025-06-15 00:31:37.346773,middle_line
91,27,2025-06-15 00:31:38.468370,middle_line
102,51,2025-06-15 00:31:43.071004,zone
106,51,2025-06-15 00:31:43.862605,middle_line
110,51,2025-06-15 00:31:45.619835,middle_line
116,27,2025-06-15 00:31:47.233663,middle_line
133,27,2025-06-15 00:31:52.830491,middle_line
148,27,2025-06-15 00:31:55.651536,zone
163,51,2025-06-15 00:31:57.669375,zone
174,27,2025-06-15 00:31:59.156624,middle_line
179,51,2025-06-15 00:31:59.470124,middle_line
201,27,2025-06-15 00:32:07.139913,middle_line
222,27,2025-06-15 00:32:08.747483,zone
233,27,2025-06-15 00:32:09.880996,middle_line
234,51,2025-06-15 00:32:09.880996,zone
236,51,2025-06-15 00:32:11.181408,middle_line
245,51,2025-06-15 00:32:12.613962,middle_line
249,51,2025-06-15 00:32:13.106110,middle_line
266,51,2025-06-15 00:32:15.859699,middle_line
267,27,2025-06-15 00:32:16.019680,middle_line
271,51,2025-06-15 00:32:17.013921,middle_line
284,51,2025-06-15 00:32:20.395771,middle_line
288,27,2025-06-15 00:32:20.867950,middle_line
291,27,2025-06-15 00:32:21.028107,middle_line
292,51,2025-06-15 00:32:21.344175,middle_line
301,27,2025-06-15 00:32:23.406037,middle_line
305,27,2025-06-15 00:32:24.373965,zone
317,27,2025-06-15 00:32:25.800903,middle_line
327,51,2025-06-15 00:32:27.098657,middle_line
343,51,2025-06-15 00:32:31.603208,middle_line
348,51,2025-06-15 00:32:32.868793,middle_line
359,27,2025-06-15 00:32:34.932635,middle_line
363,27,2025-06-15 00:32:37.916317,zone
371,27,2025-06-15 00:32:39.366231,middle_line
372,51,2025-06-15 00:32:40.474075,middle_line
373,51,2025-06-15 00:32:40.474075,zone
400,51,2025-06-15 00:32:46.734255,zone
406,51,2025-06-15 00:32:47.058527,middle_line
411,51,2025-06-15 00:32:48.217031,zone
426,51,2025-06-15 00:32:50.140125,middle_line
439,51,2025-06-15 00:32:51.280008,middle_line
444,51,2025-06-15 00:32:52.428093,zone
459,27,2025-06-15 00:32:57.168781,zone
470,27,2025-06-15 00:33:00.262491,middle_line
481,51,2025-06-15 00:33:02.895472,middle_line
485,51,2025-06-15 00:33:04.228944,middle_line
514,27,2025-06-15 00:33:14.137038,zone
456,27,2025-06-15 00:33:15.229594,zone
529,27,2025-06-15 00:33:16.829134,zone
533,27,2025-06-15 00:33:17.966360,zone
537,27,2025-06-15 00:33:18.934888,middle_line
540,51,2025-06-15 00:33:19.720085,middle_line
544,27,2025-06-15 00:33:20.825489,zone
551,51,2025-06-15 00:33:21.631892,zone
557,51,2025-06-15 00:33:24.315613,middle_line
560,27,2025-06-15 00:33:24.782336,middle_line
562,51,2025-06-15 00:33:24.782336,middle_line
573,51,2025-06-15 00:33:27.383777,middle_line
575,27,2025-06-15 00:33:29.146529,middle_line
580,27,2025-06-15 00:33:29.793885,middle_line
581,51,2025-06-15 00:33:29.793885,middle_line
589,51,2025-06-15 00:33:30.743930,middle_line
590,27,2025-06-15 00:33:30.743930,zone
598,51,2025-06-15 00:33:33.769391,middle_line
604,27,2025-06-15 00:33:34.254184,middle_line
611,51,2025-06-15 00:33:34.886927,middle_line
615,27,2025-06-15 00:33:36.317639,middle_line
618,27,2025-06-15 00:33:38.191375,middle_line
621,51,2025-06-15 00:33:38.841817,middle_line
622,27,2025-06-15 00:33:39.003838,middle_line
626,51,2025-06-15 00:33:39.841940,middle_line
628,27,2025-06-15 00:33:40.638371,zone
630,27,2025-06-15 00:33:41.267252,middle_line
634,27,2025-06-15 00:33:42.052608,zone
