component_id,box_id,first_detected,assignment_method,line_touch_time
7,1,2025-06-15 00:30:57.014898,zone,2025-06-15 00:31:05.014898
13,1,2025-06-15 00:30:59.187889,zone,2025-06-15 00:31:07.187889
19,1,2025-06-15 00:31:01.887835,middle_line,2025-06-15 00:31:09.887835
28,21,2025-06-15 00:31:11.330576,zone,2025-06-15 00:31:19.330576
10,10,2025-06-15 00:31:13.696301,zone,2025-06-15 00:31:21.696301
36,21,2025-06-15 00:31:14.018492,zone,2025-06-15 00:31:22.018492
37,10,2025-06-15 00:31:14.178735,middle_line,2025-06-15 00:31:22.178735
42,21,2025-06-15 00:31:17.778427,middle_line,2025-06-15 00:31:25.778427
47,21,2025-06-15 00:31:20.152827,middle_line,2025-06-15 00:31:28.152827
53,21,2025-06-15 00:31:24.896826,middle_line,2025-06-15 00:31:32.896826
67,51,2025-06-15 00:31:31.846462,middle_line,2025-06-15 00:31:39.846462
70,27,2025-06-15 00:31:33.408509,zone,2025-06-15 00:31:41.408509
71,51,2025-06-15 00:31:33.565126,middle_line,2025-06-15 00:31:41.565126
74,27,2025-06-15 00:31:33.875028,zone,2025-06-15 00:31:41.875028
87,27,2025-06-15 00:31:37.346773,middle_line,2025-06-15 00:31:45.346773
91,27,2025-06-15 00:31:38.468370,middle_line,2025-06-15 00:31:46.468370
102,51,2025-06-15 00:31:43.071004,zone,2025-06-15 00:31:51.071004
106,51,2025-06-15 00:31:43.862605,middle_line,2025-06-15 00:31:51.862605
110,51,2025-06-15 00:31:45.619835,middle_line,2025-06-15 00:31:53.619835
