barcode_id,barcode,time_of_detection
1,932158451555,2025-06-23 00:30:53.761381
2,345472822109,2025-06-23 00:31:17.761381
3,738329695179,2025-06-23 00:31:41.761381
4,824108668735,2025-06-23 00:32:05.761381
5,63099494447,2025-06-23 00:32:29.761381
6,322378511337,2025-06-23 00:32:53.761381
7,982752663703,2025-06-23 00:33:17.761381
8,15112510158,2025-06-23 00:33:41.761381
9,881123410607,2025-06-23 00:34:05.761381
10,212389665223,2025-06-23 00:34:29.761381
11,221469527751,2025-06-23 00:34:53.761381
12,761234667929,2025-06-23 00:35:17.761381
13,258742737574,2025-06-23 00:35:41.761381
14,284179568094,2025-06-23 00:36:05.761381
15,686494447517,2025-06-23 00:36:29.761381
16,346361220350,2025-06-23 00:36:53.761381
17,999193977792,2025-06-23 00:37:17.761381
18,231081895354,2025-06-23 00:37:41.761381
19,414028921093,2025-06-23 00:38:05.761381
20,475331672644,2025-06-23 00:38:29.761381
21,554270319444,2025-06-23 00:38:53.761381
