epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,736.196,1.2104,1.31483,1.08752,0.8834,0.85696,0.90823,0.61745,1.09293,0.95956,1.03137,0.000554238,0.000554238,0.000554238
2,1450.49,1.14135,0.87944,1.07196,0.89838,0.88757,0.91968,0.64195,1.03158,0.78066,1.02242,0.00108793,0.00108793,0.00108793
3,2216.33,1.12178,0.78698,1.06603,0.91315,0.88518,0.93412,0.67825,0.97736,0.6719,1.0029,0.00159961,0.00159961,0.00159961
4,2928.03,1.08873,0.72489,1.06166,0.91434,0.89382,0.92944,0.66167,1.04323,0.67949,1.02765,0.00156798,0.00156798,0.00156798
5,3757.46,1.0666,0.69205,1.05354,0.91501,0.91453,0.93972,0.6836,0.96832,0.61483,1.00472,0.00153497,0.00153497,0.00153497
6,4459.82,1.04632,0.65967,1.04011,0.91969,0.9068,0.94175,0.69095,0.95555,0.6049,1.01335,0.00150197,0.00150197,0.00150197
7,5270.7,1.0287,0.64608,1.03508,0.91166,0.91385,0.94521,0.7008,0.93945,0.60065,0.99786,0.00146896,0.00146896,0.00146896
8,6089.26,1.01816,0.6382,1.03235,0.90845,0.92043,0.94936,0.70303,0.9354,0.58384,0.9955,0.00143595,0.00143595,0.00143595
9,6899.37,0.9981,0.6153,1.02424,0.93045,0.91733,0.95047,0.71262,0.9172,0.56091,0.98758,0.00140295,0.00140295,0.00140295
10,7698.21,0.9859,0.60239,1.02016,0.92126,0.91706,0.94819,0.71925,0.89818,0.55068,0.98669,0.00136994,0.00136994,0.00136994
11,8418.08,0.98045,0.59681,1.02362,0.9264,0.91314,0.94743,0.70996,0.91268,0.55589,0.99024,0.00133693,0.00133693,0.00133693
12,9113.05,0.97392,0.59678,1.01888,0.91794,0.92463,0.94948,0.71573,0.89776,0.54154,0.98248,0.00130393,0.00130393,0.00130393
13,9803.59,0.96978,0.59132,1.02176,0.9278,0.92286,0.95006,0.71666,0.8981,0.5463,0.98831,0.00127092,0.00127092,0.00127092
14,10488.2,0.95109,0.57562,1.01041,0.92548,0.92208,0.9535,0.72418,0.87772,0.52565,0.98219,0.00123791,0.00123791,0.00123791
15,11166.5,0.94158,0.56708,1.00454,0.91962,0.9299,0.95479,0.73067,0.87356,0.51739,0.97539,0.00120491,0.00120491,0.00120491
